search_time,add_time,replace_time,spin_time,follow_time,hash_time,check_time,madvise_time
34417,23483,0,13793,5777,80792,127158,258025
256333,4261,26146,8204,6042,81107,42119,420312
255583,4241,26041,8265,6164,80283,41483,418813
257287,4160,26023,8152,6048,78451,41528,418750
263299,3691,27223,8122,6070,79438,37663,421122
292601,1284,29892,7305,6149,72918,22867,429611
289195,2455,21683,7692,6036,80378,26132,436772
254305,3656,18914,8518,6231,70445,43705,409188
262285,4347,27129,8128,6604,82800,56478,443913
250237,3938,19039,8405,6392,69771,44914,405536
280451,2642,28203,7829,6275,79575,30788,432026
251892,3999,26000,8383,6329,67361,41837,401316
269986,2740,22888,8097,6377,72083,38842,421931
265830,3558,21550,8037,6201,74889,37188,418522
267534,3119,20827,8078,6134,72837,36063,417191
269502,4339,27580,8318,6349,80722,44614,437568
